run_name,status,experiment_type,classifier_label,preprocessing.mode,preprocessing.image_size,feature_extraction.backbone,classifier.name,classifier.params,loaded_from_cache,fit_time_seconds,feature_dir,model,accuracy,precision_macro,recall_macro,f1_macro,wrong_predictions,total_samples,error_rate,roc_auc
040__mode-center_crop__size-224__backbone-efficientnet_b0__clf-rf_n200_depthnone,ok,base,RF_n200_depthNone,center_crop,224,efficientnet_b0,random_forest,"{""n_estimators"": 200, ""max_depth"": null, ""n_jobs"": -1, ""class_weight"": null}",True,66.208094,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-center_crop__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,040__mode-center_crop__size-224__backbone-efficientnet_b0__clf-rf_n200_depthnone,0.9920239282153539,0.9921001352103714,0.9920179561196332,0.9920235397033679,8,1003,0.007976071784646061,0.9998051705354232
029__mode-stretch__size-224__backbone-vgg16__clf-rf_n200_depthnone,ok,base,RF_n200_depthNone,stretch,224,vgg16,random_forest,"{""n_estimators"": 200, ""max_depth"": null, ""n_jobs"": -1, ""class_weight"": null}",True,34.200219,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-stretch__size-224__norm-imagenet__backbone-vgg16__pretrained-true,029__mode-stretch__size-224__backbone-vgg16__clf-rf_n200_depthnone,0.9910269192422732,0.9910298210735586,0.9910259162949002,0.991026883564197,9,1003,0.00897308075772682,0.9996978155243298
131__mode-augmented__size-224__backbone-vgg16__clf-stacking_default,ok,ensemble,Stacking_default,augmented,224,vgg16,stacking,"{""n_jobs"": -1, ""lr"": {""C"": 0.1, ""max_iter"": 3000, ""n_jobs"": -1}, ""svm"": {""C"": 0.1, ""probability"": true}, ""rf"": {""n_estimators"": 100, ""n_jobs"": -1}, ""final_max_iter"": 3000}",True,118.017327,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-augmented__size-224__norm-imagenet__backbone-vgg16__pretrained-true,131__mode-augmented__size-224__backbone-vgg16__clf-stacking_default,0.9910269192422732,0.991041607023571,0.9910298924064223,0.991026883564197,9,1003,0.00897308075772682,0.9997455288625936
007__mode-stretch__size-224__backbone-efficientnet_b0__clf-rf_n200_depthnone,ok,base,RF_n200_depthNone,stretch,224,efficientnet_b0,random_forest,"{""n_estimators"": 200, ""max_depth"": null, ""n_jobs"": -1, ""class_weight"": null}",True,67.312572,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-stretch__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,007__mode-stretch__size-224__backbone-efficientnet_b0__clf-rf_n200_depthnone,0.9910269192422732,0.9910473577478229,0.9910239282391393,0.9910267765282661,9,1003,0.00897308075772682,0.9995666038441046
073__mode-letterbox__size-224__backbone-efficientnet_b0__clf-rf_n200_depthnone,ok,base,RF_n200_depthNone,letterbox,224,efficientnet_b0,random_forest,"{""n_estimators"": 200, ""max_depth"": null, ""n_jobs"": -1, ""class_weight"": null}",True,67.434701,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-letterbox__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,073__mode-letterbox__size-224__backbone-efficientnet_b0__clf-rf_n200_depthnone,0.9910269192422732,0.9910473577478229,0.9910239282391393,0.9910267765282661,9,1003,0.00897308075772682,0.9997614333086814
039__mode-center_crop__size-224__backbone-efficientnet_b0__clf-rf_n100_depth20,ok,base,RF_n100_depth20,center_crop,224,efficientnet_b0,random_forest,"{""n_estimators"": 100, ""max_depth"": 20, ""n_jobs"": -1, ""class_weight"": null}",True,31.433742,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-center_crop__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,039__mode-center_crop__size-224__backbone-efficientnet_b0__clf-rf_n100_depth20,0.9910269192422732,0.9910805179105427,0.9910219401833782,0.9910265981293733,9,1003,0.00897308075772682,0.9997852899778132
127__mode-augmented__size-224__backbone-vgg16__clf-rf_n100_depth20,ok,base,RF_n100_depth20,augmented,224,vgg16,random_forest,"{""n_estimators"": 100, ""max_depth"": 20, ""n_jobs"": -1, ""class_weight"": null}",True,16.867892,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-augmented__size-224__norm-imagenet__backbone-vgg16__pretrained-true,127__mode-augmented__size-224__backbone-vgg16__clf-rf_n100_depth20,0.9900299102691924,0.9900299003586452,0.9900299003586452,0.9900299003586452,10,1003,0.009970089730807577,0.9997296244165056
129__mode-augmented__size-224__backbone-vgg16__clf-rf_n200_depth20,ok,base,RF_n200_depth20,augmented,224,vgg16,random_forest,"{""n_estimators"": 200, ""max_depth"": 20, ""n_jobs"": -1, ""class_weight"": null}",True,35.311356,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-augmented__size-224__norm-imagenet__backbone-vgg16__pretrained-true,129__mode-augmented__size-224__backbone-vgg16__clf-rf_n200_depth20,0.9900299102691924,0.9900357852882704,0.9900318884144063,0.9900299003586452,10,1003,0.009970089730807577,0.9997614333086814
110__mode-augmented__size-224__backbone-resnet18__clf-lr_c0.1,ok,base,LR_C0.1,augmented,224,resnet18,logistic_regression,"{""C"": 0.1, ""max_iter"": 3000, ""class_weight"": null, ""n_jobs"": -1}",False,61.91121,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-augmented__size-224__norm-imagenet__backbone-resnet18__pretrained-true,110__mode-augmented__size-224__backbone-resnet18__clf-lr_c0.1,0.9900299102691924,0.9900299003586452,0.9900299003586452,0.9900299003586452,10,1003,0.009970089730807577,0.9996819110782419
021__mode-stretch__size-224__backbone-resnet18__clf-stacking_default,ok,ensemble,Stacking_default,stretch,224,resnet18,stacking,"{""n_jobs"": -1, ""lr"": {""C"": 0.1, ""max_iter"": 3000, ""n_jobs"": -1}, ""svm"": {""C"": 0.1, ""probability"": true}, ""rf"": {""n_estimators"": 100, ""n_jobs"": -1}, ""final_max_iter"": 3000}",True,123.993399,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-stretch__size-224__norm-imagenet__backbone-resnet18__pretrained-true,021__mode-stretch__size-224__backbone-resnet18__clf-stacking_default,0.9900299102691924,0.9900299003586452,0.9900299003586452,0.9900299003586452,10,1003,0.009970089730807577,0.9994831055021431
006__mode-stretch__size-224__backbone-efficientnet_b0__clf-rf_n100_depth20,ok,base,RF_n100_depth20,stretch,224,efficientnet_b0,random_forest,"{""n_estimators"": 100, ""max_depth"": 20, ""n_jobs"": -1, ""class_weight"": null}",True,32.226218,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-stretch__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,006__mode-stretch__size-224__backbone-efficientnet_b0__clf-rf_n100_depth20,0.9900299102691924,0.9900396030155549,0.9900279123028843,0.9900298210735586,10,1003,0.009970089730807577,0.9995268427288848
